run_id,config_name,total_ram_mb,cpu_cores,batch_size,buffer_size,learning_rate,beta,epsilon,lambd,num_epoch,num_layers,hidden_units,gamma,strength,time_horizon,summary_freq,keep_checkpoints,max_steps,cpu_avg_unity,cpu_peak_unity,ram_avg_unity,ram_peak_unity,cpu_avg_python,cpu_peak_python,ram_avg_python,ram_peak_python,duration_sec
run_1764189506,config_145.yaml,11700.625,6,502,8265,0.0003,0.01,0.3,0.99,6,2,305,0.999,0.5,88,1340,5,50000,20.346017699115063,59.7,159.45381637168143,166.8125,272.1407079646019,302.5,523.2743362831858,545.1640625,56.158594369888306
run_1764189567,config_146.yaml,11700.625,6,602,11798,0.0003,0.01,0.3,0.99,8,2,125,0.999,0.5,84,4615,5,50000,20.632743362831878,59.9,153.75217782079645,162.91015625,256.73274336283197,301.4,526.7778968473451,546.82421875,56.14768981933594
run_1764189668,config_147.yaml,11700.625,6,408,3206,0.0003,0.01,0.3,0.99,9,3,481,0.999,0.5,85,4590,5,50000,12.331770833333344,53.9,157.09222412109375,164.140625,288.6369791666673,303.3,533.9639078776041,550.24609375,95.7448832988739
run_1764189720,config_148.yaml,11700.625,6,344,10898,0.0003,0.01,0.3,0.99,4,3,184,0.999,0.5,127,1449,5,50000,22.318947368421075,47.9,155.3138980263158,166.28515625,268.557894736842,303.4,523.9189144736843,543.01953125,47.115943908691406
run_1764189791,config_149.yaml,11700.625,6,140,1790,0.0003,0.01,0.3,0.99,6,4,129,0.999,0.5,84,3138,5,50000,17.085606060606075,47.9,158.2078302556818,168.25390625,291.60530303030333,302.3,494.50837476325756,515.75390625,65.68699288368225
run_1764189876,config_14.yaml,11700.625,6,95,2713,0.0003,0.01,0.3,0.99,9,2,161,0.999,0.5,119,1794,5,50000,14.747826086956536,67.9,159.3673815993789,161.4296875,292.278881987578,302.9,492.68551048136646,500.55859375,80.20747423171997
run_1764189937,config_150.yaml,11700.625,6,446,15115,0.0003,0.01,0.3,0.99,7,3,89,0.999,0.5,68,2049,5,50000,20.882300884955775,51.8,155.81443584070797,166.2265625,256.09557522123885,303.3,524.1134195243363,545.265625,56.13367772102356
run_1764189988,config_151.yaml,11700.625,6,748,9308,0.0003,0.01,0.3,0.99,6,2,77,0.999,0.5,45,1635,5,50000,23.17741935483873,73.8,153.2949428763441,157.3515625,268.6301075268818,301.4,513.2023269489247,527.12890625,46.12374258041382
run_1764190034,config_152.yaml,11700.625,6,673,11332,0.0003,0.01,0.3,0.99,2,1,370,0.999,0.5,19,970,5,50000,25.51204819277111,43.9,154.5296498493976,159.1640625,277.6951807228916,303.4,519.7307981927711,533.82421875,41.098706007003784
run_1764190075,config_153.yaml,11700.625,6,995,5482,0.0003,0.01,0.3,0.99,2,1,154,0.999,0.5,101,4292,5,50000,29.672602739726052,49.9,156.07159674657535,165.58203125,282.541095890411,303.2,507.8364726027397,523.953125,36.094987869262695
run_1764190151,config_154.yaml,11700.625,6,743,6537,0.0003,0.01,0.3,0.99,8,2,464,0.999,0.5,18,3743,5,50000,15.42867132867135,65.8,156.09369536713288,164.1953125,280.40979020979046,302.5,532.9628496503497,545.71875,71.19347667694092
run_1764190219,config_155.yaml,11700.625,6,943,9252,0.0003,0.01,0.3,0.99,7,4,165,0.999,0.5,61,660,5,50000,19.168503937007888,73.7,155.9384534940945,159.27734375,263.9409448818897,303.4,539.4908956692914,559.30078125,63.17107391357422
run_1764190280,config_156.yaml,11700.625,6,345,14951,0.0003,0.01,0.3,0.99,5,4,198,0.999,0.5,100,2485,5,50000,19.658928571428593,45.9,157.77915736607142,161.25,265.2812500000001,302.2,537.4940359933036,557.3671875,55.63955807685852
run_1764190357,config_157.yaml,11700.625,6,766,5092,0.0003,0.01,0.3,0.99,9,2,375,0.999,0.5,39,1774,5,50000,15.89657534246577,67.9,156.4365368150685,159.46484375,282.51232876712334,301.6,530.2666149400685,541.56640625,72.69151496887207
run_1764190448,config_158.yaml,11700.625,6,312,14373,0.0003,0.01,0.3,0.99,6,4,496,0.999,0.5,35,3979,5,50000,12.970348837209317,41.4,157.20907521802326,160.03515625,275.60755813953506,303.3,573.7071220930233,591.37890625,85.72894358634949
run_1764190487,config_159.yaml,11700.625,6,796,4719,0.0003,0.01,0.3,0.99,1,1,177,0.999,0.5,97,1433,5,50000,32.20289855072467,73.8,155.34267436594203,160.89453125,282.7797101449275,302.7,504.2332427536232,520.6875,34.08652424812317
run_1764190569,config_15.yaml,11700.625,6,840,1429,0.0003,0.01,0.3,0.99,9,3,250,0.999,0.5,20,3097,5,50000,16.096078431372568,63.9,159.4220281862745,161.55859375,292.852941176471,303.4,517.9813878676471,527.8828125,76.20882964134216
run_1764190637,config_160.yaml,11700.625,6,296,10233,0.0003,0.01,0.3,0.99,10,2,100,0.999,0.5,119,3709,5,50000,16.786718750000013,67.9,156.30807495117188,164.9140625,255.96796875000004,301.4,518.2718811035156,541.05078125,63.65397906303406
run_1764190681,config_161.yaml,11700.625,6,426,8943,0.0003,0.01,0.3,0.99,2,1,427,0.999,0.5,46,2060,5,50000,28.458974358974384,45.9,154.16085737179486,165.63671875,276.1205128205128,301.4,515.4842748397435,539.86328125,38.60089111328125
run_1764190742,config_162.yaml,11700.625,6,548,1059,0.0003,0.01,0.3,0.99,7,1,349,0.999,0.5,126,2961,5,50000,20.52017543859651,87.8,157.30071271929825,160.92578125,289.5543859649122,301.4,501.2877604166667,508.2265625,56.653616189956665
run_1764190802,config_163.yaml,11700.625,6,689,6087,0.0003,0.01,0.3,0.99,5,2,472,0.999,0.5,115,1881,5,50000,20.923636363636383,63.8,159.30777698863636,166.33203125,276.7718181818183,301.4,532.7297585227273,548.52734375,54.64213967323303
run_1764190898,config_164.yaml,11700.625,6,489,14093,0.0003,0.01,0.3,0.99,7,3,483,0.999,0.5,78,3108,5,50000,16.14309392265195,65.9,155.2479929212707,162.9765625,271.8016574585637,301.6,561.4420321132596,577.57421875,90.27333164215088
run_1764190950,config_165.yaml,11700.625,6,224,9695,0.0003,0.01,0.3,0.99,2,2,118,0.999,0.5,68,951,5,50000,29.92150537634412,95.8,158.49932795698925,161.55078125,272.9483870967742,301.8,508.304435483871,522.5625,46.141515254974365
run_1764191007,config_166.yaml,11700.625,6,108,1866,0.0003,0.01,0.3,0.99,3,2,220,0.999,0.5,41,4894,5,50000,24.30190476190479,73.8,156.64404761904763,159.0859375,289.62857142857143,303.4,491.32987351190474,498.8203125,52.15544652938843
run_1764191066,config_167.yaml,11700.625,6,680,8148,0.0003,0.01,0.3,0.99,3,3,457,0.999,0.5,85,1343,5,50000,22.673831775700954,49.9,157.37080169392524,166.296875,279.3224299065421,301.6,549.3910265771028,569.65625,53.154839754104614
run_1764191133,config_168.yaml,11700.625,6,960,16354,0.0003,0.01,0.3,0.99,7,3,247,0.999,0.5,79,836,5,50000,21.920634920634946,69.8,159.24004836309524,161.41015625,263.3603174603174,303.4,554.8370845734127,577.21484375,62.70759177207947
run_1764191238,config_169.yaml,11700.625,6,593,11424,0.0003,0.01,0.3,0.99,8,4,467,0.999,0.5,72,2931,5,50000,11.769849246231166,87.8,157.36390939070353,164.66796875,273.3653266331661,302.6,574.3089667085427,594.32421875,99.24805045127869
run_1764191291,config_16.yaml,11700.625,6,121,3690,0.0003,0.01,0.3,0.99,4,1,265,0.999,0.5,66,4793,5,50000,21.93163265306124,51.1,157.197265625,167.94921875,290.2285714285713,303.2,489.58852838010205,502.30078125,48.63876795768738
run_1764191344,config_170.yaml,11700.625,6,422,16167,0.0003,0.01,0.3,0.99,6,2,128,0.999,0.5,36,579,5,50000,23.902061855670127,63.8,155.2005074097938,159.23828125,259.6876288659795,303.3,524.9348018685567,547.04296875,48.13901114463806
run_1764191448,config_171.yaml,11700.625,6,898,3605,0.0003,0.01,0.3,0.99,9,4,454,0.999,0.5,80,3799,5,50000,11.547738693467348,65.8,155.21099638819095,157.5390625,291.12914572864383,303.2,566.9721655150754,581.01953125,99.26154112815857
run_1764191530,config_172.yaml,11700.625,6,632,3255,0.0003,0.01,0.3,0.99,9,3,323,0.999,0.5,99,2374,5,50000,14.89545454545456,75.8,157.31769987824674,159.25390625,290.06428571428603,303.3,530.1786475243506,540.2890625,76.70567083358765
run_1764191601,config_173.yaml,11700.625,6,1011,4871,0.0003,0.01,0.3,0.99,9,3,173,0.999,0.5,125,3016,5,50000,18.50375939849626,73.8,157.42766094924812,159.6484375,267.1977443609024,301.5,531.2754053101504,544.07421875,66.1683087348938
run_1764191665,config_174.yaml,11700.625,6,373,13408,0.0003,0.01,0.3,0.99,7,1,116,0.999,0.5,111,4918,5,50000,24.242372881355955,87.6,159.11602886652543,161.23828125,259.1322033898305,303.2,521.8721861758474,536.30078125,58.661797761917114
run_1764191767,config_175.yaml,11700.625,6,111,11696,0.0003,0.01,0.3,0.99,10,2,297,0.999,0.5,65,2836,5,50000,15.631088082901572,53.9,161.22152283031087,168.203125,269.96839378238377,305.4,522.5583103950777,543.00390625,96.2713692188263
run_1764191830,config_176.yaml,11700.625,6,638,16285,0.0003,0.01,0.3,0.99,7,2,122,0.999,0.5,25,4639,5,50000,23.255555555555585,65.7,155.7991452991453,164.2890625,260.7863247863248,302.8,531.3240852029915,548.34375,58.162617206573486
run_1764191948,config_177.yaml,11700.625,6,285,14254,0.0003,0.01,0.3,0.99,8,4,489,0.999,0.5,27,1922,5,50000,12.202631578947386,93.8,158.08257949561403,159.43359375,275.195175438597,303.4,563.435426946272,581.4765625,113.82924222946167
run_1764192035,config_178.yaml,11700.625,6,124,11682,0.0003,0.01,0.3,0.99,5,2,488,0.999,0.5,56,4198,5,50000,17.534355828220882,83.7,156.81019938650306,162.91796875,273.4785276073621,301.6,618.6846721625767,637.4296875,81.24596405029297
run_1764192091,config_179.yaml,11700.625,6,871,16027,0.0003,0.01,0.3,0.99,3,4,331,0.999,0.5,105,4531,5,50000,26.157692307692336,73.8,157.2420372596154,161.07421875,275.0086538461538,303.3,564.044921875,596.4453125,51.66058588027954
run_1764192146,config_17.yaml,11700.625,6,657,1213,0.0003,0.01,0.3,0.99,4,3,176,0.999,0.5,19,4935,5,50000,24.184848484848516,45.9,157.11549084595958,161.60546875,289.65151515151507,302.7,502.52647569444446,508.9140625,49.13978409767151
run_1764192209,config_180.yaml,11700.625,6,925,3625,0.0003,0.01,0.3,0.99,8,3,92,0.999,0.5,96,3930,5,50000,19.90341880341882,81.8,157.61321447649573,161.1796875,275.3829059829061,303.3,513.9695846688035,527.703125,58.1832218170166
run_1764192264,config_181.yaml,11700.625,6,902,9871,0.0003,0.01,0.3,0.99,6,2,87,0.999,0.5,44,907,5,50000,22.41666666666669,69.8,155.4469975490196,163.03125,265.1745098039217,301.7,517.8300015318628,531.1015625,50.64325714111328
run_1764192332,config_182.yaml,11700.625,6,892,6344,0.0003,0.01,0.3,0.99,9,4,110,0.999,0.5,89,1951,5,50000,18.12380952380954,51.9,157.24212549603175,159.390625,267.1047619047621,302.7,527.7864583333334,539.27734375,62.66630816459656
run_1764192386,config_183.yaml,11700.625,6,726,8899,0.0003,0.01,0.3,0.99,5,1,490,0.999,0.5,72,2197,5,50000,23.630303030303054,63.9,154.71906565656565,164.17578125,270.0828282828283,303.3,530.1820154671717,548.359375,49.132625579833984
run_1764192446,config_184.yaml,11700.625,6,581,1576,0.0003,0.01,0.3,0.99,8,1,364,0.999,0.5,27,1900,5,50000,20.458715596330297,79.8,155.59174311926606,159.17578125,292.0192660550459,301.7,496.96394782110093,501.71484375,54.13135027885437
run_1764192493,config_185.yaml,11700.625,6,190,11875,0.0003,0.01,0.3,0.99,1,3,256,0.999,0.5,16,949,5,50000,24.548837209302356,49.9,158.79696584302326,168.17578125,284.33604651162807,301.5,519.0653161337209,533.61328125,42.61238098144531
run_1764192566,config_186.yaml,11700.625,6,745,1933,0.0003,0.01,0.3,0.99,5,3,476,0.999,0.5,76,2929,5,50000,18.0251851851852,49.9,157.32928240740742,162.296875,292.7496296296299,301.5,538.45859375,551.33203125,67.18127918243408
run_1764192643,config_187.yaml,11700.625,6,444,2650,0.0003,0.01,0.3,0.99,7,2,313,0.999,0.5,37,929,5,50000,18.995172413793124,87.8,158.17448814655174,162.27734375,291.03103448275874,302.4,506.24954202586207,517.43359375,72.22313022613525
run_1764192710,config_188.yaml,11700.625,6,934,5890,0.0003,0.01,0.3,0.99,8,3,197,0.999,0.5,88,1475,5,50000,18.096800000000016,69.8,157.84553125,167.21484375,270.08320000000015,301.8,530.96840625,544.75390625,62.15737342834473
run_1764192752,config_189.yaml,11700.625,6,986,8651,0.0003,0.01,0.3,0.99,2,3,69,0.999,0.5,55,3523,5,50000,28.665333333333358,47.9,156.18854166666668,159.11328125,279.6013333333333,301.5,519.5425520833334,533.91796875,37.09197974205017
run_1764192801,config_18.yaml,11700.625,6,920,9791,0.0003,0.01,0.3,0.99,3,2,187,0.999,0.5,31,3211,5,50000,23.79101123595508,45.9,158.7970944522472,163.96875,274.86966292134827,301.6,525.3531864466293,551.734375,44.1125922203064
run_1764192859,config_190.yaml,11700.625,6,230,1801,0.0003,0.01,0.3,0.99,4,2,288,0.999,0.5,90,4999,5,50000,22.723148148148173,47.9,155.3402416087963,159.1015625,290.163888888889,303.3,499.44567418981484,507.078125,53.63150429725647
run_1764192903,config_191.yaml,11700.625,6,619,8797,0.0003,0.01,0.3,0.99,1,2,493,0.999,0.5,108,2608,5,50000,29.7835443037975,95.8,153.83480023734177,164.85546875,278.8164556962025,302.5,535.7919798259494,560.046875,39.10897755622864
run_1764192971,config_192.yaml,11700.625,6,463,10868,0.0003,0.01,0.3,0.99,8,1,482,0.999,0.5,45,1517,5,50000,18.51269841269843,71.8,159.3240947420635,166.09765625,260.49206349206355,303.2,524.5938430059524,539.59765625,62.674469232559204
run_1764193020,config_193.yaml,11700.625,6,743,2935,0.0003,0.01,0.3,0.99,3,2,263,0.999,0.5,106,2746,5,50000,26.12921348314608,55.8,158.2853757022472,161.09765625,288.5393258426967,302.6,512.124297752809,524.6015625,44.1183762550354
