run_id,machine_id,run_log_file,algo,seed,env_name,os_name,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,learning_rate_schedule,batch_size,buffer_size,normalize,hidden_units,num_layers,vis_encode_type,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,save_replay_buffer,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,time_to_convergence,steps_to_convergence
filippomorini_macOS_ppo_a2234bf6df,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_a2234bf6df\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.63,791.53,19.29,822.59,0.0003,linear,32,68704,False,81,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,244.598,100.0,0.0,218.215,560000
filippomorini_macOS_ppo_a4c961261f,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_a4c961261f\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.5,1043.43,19.33,1250.55,0.0003,linear,32,247648,False,83,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,611.564,100.0,0.0,606.166,1550000
filippomorini_macOS_ppo_a56c9da61f,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_a56c9da61f\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.4,930.0,20.6,1191.39,0.0003,linear,32,254368,False,89,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,734.78,100.0,0.0,660.82,1670000
filippomorini_macOS_ppo_af022360d5,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_af022360d5\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.2,997.15,20.23,1133.7,0.0003,linear,32,200384,False,90,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,624.058,100.0,0.0,617.552,1500000
filippomorini_macOS_ppo_b628fd728b,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_b628fd728b\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.35,1237.06,19.35,1573.39,0.0003,linear,32,397248,False,116,1,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1291.26,100.0,0.0,1285.906,3340000
filippomorini_macOS_ppo_c0adb9884c,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_c0adb9884c\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.36,1283.32,21.52,1663.48,0.0003,linear,32,420608,False,119,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1069.346,100.0,0.0,1063.707,2610000
filippomorini_macOS_ppo_c13e974d00,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_c13e974d00\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.47,1050.52,21.04,1244.38,0.0003,linear,32,241664,False,95,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,717.95,100.0,0.0,655.25,1670000
filippomorini_macOS_ppo_d081ab8e20,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_d081ab8e20\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.49,1158.86,20.16,1413.64,0.0003,linear,32,321056,False,104,3,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,940.687,100.0,0.0,804.498,1960000
filippomorini_macOS_ppo_d1b2f4ff99,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_d1b2f4ff99\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.57,1145.11,20.91,1487.47,0.0003,linear,32,341024,False,88,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,988.083,100.0,0.0,944.334,2420000
filippomorini_macOS_ppo_d4e9a4177a,filippomorini_macOS,experiments\results\filippomorini_macOS\filippomorini_macOS_ppo_d4e9a4177a\run_logs\run_log.csv,ppo,NA,3DBall,macOS,10,10,0.0,16384.0,17.56,1282.26,21.31,1654.22,0.0003,linear,32,412256,False,70,2,simple,0.99,1.0,5,10000000,64,10000,NA,NA,NA,NA,NA,NA,0.005,0.2,0.95,3,1143.553,100.0,0.0,995.792,2560000
