seed,cpu_physical_cores,cpu_logical_cores,cpu_clock_ghz,ram_mb,avg_cpu_usage,avg_ram_usage,peak_cpu_usage,peak_ram_usage,learning_rate,batch_size,buffer_size,hidden_units,num_layers,gamma,strength,keep_checkpoints,max_steps,time_horizon,summary_freq,buffer_init_steps,tau,steps_per_update,init_entcoef,reward_signal_steps_per_update,beta,epsilon,lambd,num_epoch,train_duration_s,final_mean_reward,final_std_reward,steps_to_convergence,algo_sac,os_name_Windows,os_name_macOS,time_to_convergence,converged
0.0,10,10,0.0,16384.0,17.57,1145.11,20.91,1487.47,0.0003,32.0,341024.0,88.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,988.083,100.0,0.0,2420000.0,False,False,True,944.334,1
0.0,10,10,0.0,16384.0,17.56,1282.26,21.31,1654.22,0.0003,32.0,412256.0,70.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1143.553,100.0,0.0,2560000.0,False,False,True,995.792,1
0.0,10,10,0.0,16384.0,17.5,992.78,21.62,1134.52,0.0003,32.0,202432.0,121.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,555.693,100.0,0.0,1450000.0,False,False,True,550.201,1
0.0,10,10,0.0,16384.0,17.4,835.27,21.37,890.22,0.0003,32.0,98400.0,74.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,310.157,100.0,0.0,810000.0,False,False,True,304.722,1
0.0,10,10,0.0,16384.0,17.44,775.74,20.67,800.97,0.0003,32.0,61888.0,76.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,240.167,100.0,0.0,510000.0,False,False,True,205.337,1
0.0,10,10,0.0,16384.0,17.64,1197.42,19.33,1533.5,0.0003,32.0,399488.0,113.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1100.143,100.0,0.0,2900000.0,False,False,True,1094.696,1
0.0,10,10,0.0,16384.0,17.86,724.26,18.69,734.61,0.0003,32.0,34848.0,127.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,164.205,100.0,0.0,400000.0,False,False,True,155.089,1
0.0,10,10,0.0,16384.0,17.62,1055.91,20.49,1347.41,0.0003,32.0,337312.0,107.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1056.198,100.0,0.0,2730000.0,False,False,True,1050.822,1
0.0,10,10,0.0,16384.0,17.68,1194.64,22.41,1496.64,0.0003,32.0,345536.0,70.0,2.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,854.908,100.0,0.0,2200000.0,False,False,True,849.573,1
0.0,10,10,0.0,16384.0,17.57,1174.41,19.49,1450.86,0.0003,32.0,331840.0,95.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,969.408,100.0,0.0,2360000.0,False,False,True,963.98,1
0.0,10,10,0.0,16384.0,16.66,934.97,21.29,1025.83,0.0003,32.0,150080.0,88.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,531.161,100.0,0.0,1100000.0,False,False,True,477.42,1
0.0,10,10,0.0,16384.0,17.78,929.7,18.8,1027.91,0.0003,32.0,157792.0,87.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,487.175,100.0,0.0,1170000.0,False,False,True,442.042,1
0.0,10,10,0.0,16384.0,17.68,1020.52,21.17,1173.17,0.0003,32.0,213632.0,71.0,3.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,615.546,100.0,0.0,1410000.0,False,False,True,557.504,1
0.0,10,10,0.0,16384.0,11.26,1846.5,23.96,1955.17,0.0003,64.0,617600.0,182.0,3.0,0.817805190526165,1.0,5.0,10000000.0,1898.0,50000.0,8289.0,0.0094877854031474,10.0,0.7244913003572728,19.0,0.0,0.0,0.0,0.0,7090.858,100.0,0.0,450000.0,True,False,True,319.619,1
0.0,10,10,0.0,16384.0,11.93,1915.19,24.34,2035.44,0.0003,64.0,620928.0,265.0,3.0,0.9337687579413874,1.0,5.0,10000000.0,2026.0,50000.0,8977.0,0.0072153852538583,13.0,0.5863838931885306,5.0,0.0,0.0,0.0,0.0,2816.732,100.0,0.0,250000.0,True,False,True,194.587,1
0.0,10,10,0.0,16384.0,16.4,949.72,23.59,1003.14,0.0003,64.0,155840.0,244.0,2.0,0.8617572659630471,1.0,5.0,10000000.0,1841.0,50000.0,9608.0,0.0085623330391316,20.0,0.515408672670204,14.0,0.0,0.0,0.0,0.0,1753.956,100.0,0.0,2650000.0,True,False,True,1367.206,1
0.0,10,10,0.0,16384.0,16.9,1148.54,19.94,1503.33,0.0003,64.0,733312.0,409.0,2.0,0.9791011214585944,1.0,5.0,10000000.0,1907.0,50000.0,7575.0,0.0079761898246202,17.0,0.9780108060107396,17.0,0.0,0.0,0.0,0.0,235.53,100.0,0.0,300000.0,True,False,True,178.856,1
0.0,10,10,0.0,16384.0,16.16,2031.54,21.4,2236.56,0.0003,64.0,814464.0,442.0,1.0,0.8750414012041376,1.0,5.0,10000000.0,1037.0,50000.0,6676.0,0.0066927176214089,14.0,0.7742576935701606,12.0,0.0,0.0,0.0,0.0,5371.613,98.045,13.823,0.0,True,False,True,-1.0,0
0.0,10,10,0.0,16384.0,10.43,1920.64,20.28,2098.89,0.0003,64.0,720384.0,35.0,2.0,0.8323997209473413,1.0,5.0,10000000.0,1171.0,50000.0,9810.0,0.0054343497306317,7.0,0.5677938941878817,8.0,0.0,0.0,0.0,0.0,5086.348,100.0,0.0,6950000.0,True,False,True,5017.178,1
0.0,10,10,0.0,16384.0,12.34,1183.39,17.65,1265.31,0.0003,64.0,276928.0,386.0,2.0,0.909148606289154,1.0,5.0,10000000.0,692.0,50000.0,4904.0,0.0057405601536575,5.0,0.5690594391744537,3.0,0.0,0.0,0.0,0.0,6505.502,100.0,0.0,4600000.0,True,False,True,6365.137,1
0.0,10,10,0.0,16384.0,15.41,1104.65,24.97,1139.52,0.0003,64.0,299648.0,149.0,3.0,0.8881589211328976,1.0,5.0,10000000.0,568.0,50000.0,1592.0,0.00612355520331,18.0,0.9505417153660054,7.0,0.0,0.0,0.0,0.0,4524.495,100.0,0.0,450000.0,True,False,True,273.411,1
0.0,10,10,0.0,16384.0,11.7,2046.86,18.56,2144.62,0.0003,64.0,820416.0,346.0,3.0,0.8948391815389647,1.0,5.0,10000000.0,1650.0,50000.0,1110.0,0.0069961430448908,4.0,0.6124852324059545,11.0,0.0,0.0,0.0,0.0,18328.964,61.452,42.141,9250000.0,True,False,True,16934.155,1
0.0,10,10,0.0,16384.0,13.38,1126.64,18.73,1507.12,0.0003,64.0,645376.0,226.0,2.0,0.9170689158455196,1.0,5.0,10000000.0,629.0,50000.0,7110.0,0.0073599764796316,8.0,0.6651506665739446,2.0,0.0,0.0,0.0,0.0,410.838,100.0,0.0,300000.0,True,False,True,308.259,1
0.0,8,8,3.2,8192.0,20.04,719.48,24.9,1124.72,0.0003,32.0,395616.0,69.0,1.0,0.99,1.0,5.0,10000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,5452.144,100.0,0.0,3190000.0,False,False,True,1758.557,1
0.0,8,8,3.2,8192.0,19.64,730.91,24.66,1147.73,0.0003,32.0,426208.0,91.0,2.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1154.92,3.993,3.521,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.48,685.08,21.35,1027.86,0.0003,32.0,343232.0,108.0,1.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1085.271,3.649,3.121,0.0,False,False,True,-1.0,0
0.0,8,8,3.2,8192.0,19.65,657.02,22.16,919.19,0.0003,32.0,282624.0,122.0,1.0,0.99,1.0,5.0,2000000.0,64.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.005,0.2,0.95,3.0,1114.913,16.204,16.038,0.0,False,False,True,-1.0,0
